asset_id,asset_type,price,volatility,tvl,audit_score,github_commits,social_sentiment
ASSET1,token,4623.29,0.22,17.32,0.86,762,0.59
ASSET2,token,4595.66,0.15,41.71,0.88,1848,0.61
ASSET3,token,1265.7,0.17,77.98,0.69,400,0.54
ASSET4,nft,3477.36,0.21,48.56,0.62,623,0.17
ASSET5,nft,378.1,0.17,98.54,0.6,766,0.68
ASSET6,defi,831.91,0.25,38.3,0.63,1326,0.54
ASSET7,defi,1084.83,0.06,75.21,0.64,918,0.46
ASSET8,nft,1473.18,0.18,39.91,0.6,1230,0.83
ASSET9,nft,4979.16,0.24,83.09,0.94,1252,0.34
ASSET10,token,3484.93,0.32,57.34,0.88,852,0.52
ASSET11,token,1921.62,0.17,7.29,0.52,1933,0.66
ASSET12,token,3685.77,0.11,4.65,0.63,577,0.74
ASSET13,token,4576.36,0.08,14.25,0.51,74,0.47
ASSET14,nft,4793.55,0.47,2.35,0.75,434,0.77
ASSET15,token,290.26,0.24,8.46,0.74,102,0.72
ASSET16,defi,1973.21,0.31,69.48,0.92,1445,0.15
ASSET17,defi,534.67,0.46,53.9,0.65,1727,0.14
ASSET18,nft,1678.96,0.09,75.24,0.91,763,0.6
ASSET19,token,849.23,0.44,91.4,0.98,737,0.38
ASSET20,token,3234.59,0.3,58.93,0.54,805,0.27
